gu_name,admdong_name,living_admdong_cd,young_population,young_single_households,young_low_weekend_outing_group,young_very_low_outing_group,young_single_ratio,young_homebound_ratio,residential_dominance_score
관악구,신림동,1121069,13642.0,10974.6,1284.3600000000001,197.14,0.804471485119484,0.1085984459756634,8.08394400108597
광진구,화양동,1105053,18607.0,13309.15,1621.96,246.68,0.7152765088407589,0.10042672112645779,7.495292110105046
성북구,안암동,1108060,10479.0,6793.31,1019.64,158.76000000000002,0.6482784616852754,0.11245347838534211,6.597023456529541
금천구,가산동,1118051,12348.0,8041.75,1026.56,205.15,0.6512593132491091,0.09974975704567542,6.48714326224849
관악구,대학동,1121073,12108.0,8022.62,666.72,359.23,0.6625883713247439,0.08473323422530558,6.184876568685447
동대문구,이문1동,1106089,12736.0,7776.43,996.21,257.28000000000003,0.6105865263819096,0.09842101130653266,6.143353025747161
강남구,역삼1동,1123064,17408.0,10964.09,872.37,413.91,0.6298305376838236,0.07389016544117646,6.041550922688604
서대문구,신촌동,1113075,19682.0,10843.58,1623.24,197.72,0.550938928970633,0.09251905294177422,5.965457932386967
관악구,청룡동,1121080,16609.0,10719.9,893.44,193.14,0.6454271780360046,0.06542115720392558,5.909322440429031
성동구,사근동,1104055,8959.0,5260.51,774.93,148.56,0.5871760241098337,0.10307958477508651,5.6672629807715955
영등포구,영등포동,1119074,14078.0,8242.93,829.67,216.18,0.5855185395652792,0.07428967182838471,5.436137554525891
동대문구,회기동,1106071,8370.0,4966.38,608.16,118.98,0.5933548387096774,0.08687455197132617,5.239231928099233
관악구,행운동,1121057,13444.0,7653.91,803.67,189.18,0.5693179113359119,0.07385078845581672,5.233757585782774
마포구,서교동,1114066,12772.0,6924.87,785.6,306.94,0.5421915126839962,0.08554181020983401,5.232562683831354
관악구,서원동,1121064,11159.0,6162.51,690.6700000000001,259.33,0.5522457209427368,0.08513307644054127,5.159936900416741
성북구,동선동,1108083,7977.0,4806.8,522.1,125.65,0.6025824244703523,0.0812022063432368,5.122909558326405
관악구,서림동,1121066,11000.0,6329.860000000001,625.54,209.41,0.5754418181818183,0.07590454545454545,5.114685324862386
구로구,구로3동,1117054,10605.0,5585.9,740.49,251.67,0.5267232437529467,0.09355586987270155,5.089819831231124
관악구,신사동,1121068,10266.0,5541.91,678.29,203.23,0.5398314825638029,0.08586791350087668,4.97670455328652
종로구,혜화동,1101073,10254.0,5754.97,574.86,201.66,0.561241466744685,0.0757284961966062,4.908842613871819
중구,명동,1102055,1106.0,596.22,81.65,115.31,0.5390777576853526,0.17808318264014467,4.796532315467213
관악구,조원동,1121072,8212.0,4192.04,634.2,114.26,0.5104773502191914,0.09114223088163663,4.600565005875769
강서구,가양1동,1116064,12326.0,6618.32,545.46,222.15,0.5369398020444588,0.06227567742982314,4.564749483286043
관악구,중앙동,1121061,7071.0,3917.72,405.72,141.0,0.5540545891670202,0.07731862537123463,4.472003969341374
강남구,논현1동,1123052,10254.0,5462.22,438.01,223.57999999999998,0.5326916325336454,0.06452018724400234,4.378511063478357
송파구,문정2동,1124069,9560.0,4775.7300000000005,481.90999999999997,186.03,0.4995533472803348,0.06986820083682008,4.140138786278234
관악구,낙성대동,1121058,12966.0,6385.6,568.69,167.45,0.49248804565787446,0.05677464136973624,4.088688735443177
광진구,군자동,1105054,10449.0,4738.3,643.56,191.81,0.45346923150540724,0.07994736338405588,4.0740315093019355
중구,신당동,1102069,5222.0,2184.95,558.53,82.02,0.4184124856376867,0.12266373037150516,4.045154685282571
관악구,신원동,1121065,7511.0,3497.31,442.4,225.48,0.4656250832112901,0.08892025029956065,4.041908951460701
종로구,종로1·2·3·4가동,1101061,3300.0,1793.9299999999998,204.06,117.36,0.5436151515151515,0.0974,4.034398523674198
마포구,대흥동,1114060,7620.0,3682.0,413.42,186.24,0.4832020997375328,0.07869553805774279,3.9614661763303767
중구,을지로동,1102060,1180.0,787.14,84.08,28.150000000000002,0.6670677966101695,0.09511016949152543,3.889276960697531
관악구,인헌동,1121062,11050.0,5381.96,349.63,200.77,0.4870552036199095,0.049809954751131216,3.68747209122122
종로구,숭인2동,1101071,4319.0,2245.24,272.76,37.37,0.5198518175503588,0.07180597360500116,3.484341080011757
종로구,종로5·6가동,1101063,2175.0,1278.68,131.10999999999999,37.54,0.5878988505747127,0.07754022988505746,3.457971533356197
서대문구,연희동,1113076,14741.0,6265.59,514.4,210.79000000000002,0.42504511227189473,0.049195441286208536,3.4249578832738936
동작구,사당1동,1120063,9737.0,4490.91,414.43,108.65,0.4612211153332649,0.05372085858067167,3.410196014228772
영등포구,신길1동,1119063,7399.0,3298.0,366.8,158.4,0.445735910258143,0.07098256521151508,3.3941820273583665
중구,광희동,1102059,2985.0,1443.6,203.12,85.52000000000001,0.4836180904522613,0.09669681742043551,3.371929332227351
용산구,청파동,1103071,8295.0,3644.5,403.44,144.43,0.4393610608800482,0.06604822182037372,3.3391853850138022
동대문구,용신동,1106081,12472.0,5213.7300000000005,474.78999999999996,159.82999999999998,0.4180347979474022,0.05088357921744707,3.215394101734295
중구,장충동,1102058,3023.0,1614.8500000000001,159.52,56.68,0.5341878928217003,0.07151835924578234,3.206439857769251
광진구,구의1동,1105060,9219.0,3967.36,326.59,167.97,0.4303460245145895,0.05364573164117583,3.0628799097275934
금천구,독산1동,1118052,15366.0,5516.4,620.97,270.34,0.3590003904724717,0.0580053364571131,3.059939274792828
동대문구,휘경2동,1106073,9103.0,3753.54,391.12,155.76,0.412340986487971,0.060076897726024384,3.041146851891104
동작구,상도1동,1120053,18684.0,6504.63,627.33,306.1,0.34813904945407836,0.049958788268036826,2.9692373300353014
마포구,연남동,1114071,6688.0,2959.79,306.39,87.94,0.44255233253588516,0.05896082535885167,2.9515160236932174
중구,필동,1102057,2398.0,1170.98,159.34,51.440000000000005,0.48831526271893244,0.08789824854045038,2.950335694643991
중구,소공동,1102052,848.0,409.75,50.27,64.63,0.4831957547169811,0.13549528301886793,2.9386686902845884
영등포구,당산2동,1119056,14031.0,5430.75,436.47,153.78,0.38705366688047893,0.04206756467821253,2.8321712285164615
용산구,한강로동,1103073,9198.0,3502.66,327.85,253.88,0.38080669710806697,0.06324527071102413,2.8315717059748904
송파구,잠실본동,1124071,11003.0,4329.74,340.54,208.79999999999998,0.3935054076161047,0.049926383713532675,2.819749243895637
송파구,방이2동,1124058,10536.0,4094.32,353.37,211.88,0.38860288534548215,0.05364939255884586,2.81769661367326
중랑구,상봉2동,1107060,7582.0,3040.45,373.11,106.94,0.40100896860986546,0.06331442891057769,2.8113668651310277
강남구,논현2동,1123053,7878.0,3215.65,228.55,225.92000000000002,0.40818101040873317,0.057688499619192694,2.7811779052518046
광진구,능동,1105059,4877.0,2207.02,203.81,100.15,0.45253639532499484,0.062325199917982375,2.775905088718794
강서구,등촌1동,1116052,10195.0,3949.24,371.91,144.96,0.38737027954879844,0.050698381559588036,2.6954006078281205
관악구,남현동,1121063,7806.0,3084.73,389.7,69.77,0.3951742249551627,0.05886113246220855,2.676863792375974
구로구,가리봉동,1117070,4311.0,1920.1,217.29999999999998,65.98,0.4453954998840176,0.06571097193226628,2.657568943171849
강남구,대치4동,1123063,6588.0,2708.36,218.82999999999998,172.41,0.4111050394656952,0.05938676381299332,2.6520898676128826
종로구,이화동,1101064,3975.0,1698.7,201.35999999999999,85.58,0.4273459119496855,0.07218616352201258,2.5619255461280472
송파구,삼전동,1124064,11577.0,4120.84,283.15,283.44,0.35595059169042065,0.04894100371426103,2.4877835173376215
성동구,용답동,1104070,5625.0,2196.9700000000003,323.99,48.76,0.3905724444444445,0.06626666666666667,2.453264394329433
노원구,공릉1동,1111079,12434.0,4111.91,448.4,218.98,0.33069889013993886,0.05367379765160045,2.4341794630797735
동대문구,제기동,1106082,9025.0,3021.4900000000002,312.13,232.0,0.33479113573407204,0.06029141274238227,2.2840245237106025
관악구,보라매동,1121052,8561.0,3016.2799999999997,351.85,122.09,0.3523279990655297,0.05536035509870343,2.276514153930804
구로구,구로5동,1117056,11449.0,3495.91,432.21,268.71999999999997,0.3053463184557603,0.06122194078085422,2.271983354756401
강서구,화곡1동,1116073,18829.0,5443.48,453.75,398.32,0.289100855063997,0.04525306707738063,2.256594124908272
구로구,오류1동,1117067,8008.0,2619.67,377.68,162.88,0.3271316183816184,0.0675024975024975,2.25406509103878
성북구,삼선동,1108082,8374.0,2947.8,262.26,187.82,0.35201815142106524,0.053747313112013376,2.20849824951784
용산구,남영동,1103053,2159.0,1071.91,96.5,32.39,0.4964844835572024,0.059698934691987025,2.2012748593404705
영등포구,대림2동,1119071,6420.0,2217.17,338.14,86.97,0.34535358255451715,0.0662165109034268,2.15849676502196
동대문구,휘경1동,1106072,6801.0,2576.81,240.52,92.9,0.3788869283928834,0.0490251433612704,2.121008473815244
강북구,번1동,1109060,5975.0,2096.36,264.49,127.57,0.35085523012552305,0.06561673640167363,2.1180468738402163
용산구,이태원1동,1103065,2901.0,1121.33,149.36,92.4,0.3865322302654257,0.08333678042054464,2.1043732118115273
광진구,자양1동,1105064,7967.0,2590.58,268.96000000000004,212.72,0.3251638006777959,0.06045939500439313,2.052198606794165
강북구,수유3동,1109065,7640.0,2453.41,313.36,172.15,0.32112696335078533,0.06354842931937173,2.0417834365426235
송파구,석촌동,1124063,11815.0,3817.2,290.79,211.53,0.3230808294540838,0.042515446466356334,2.0210019215080552
동작구,대방동,1120068,11080.0,3355.13,355.15999999999997,231.54,0.3028095667870036,0.05295126353790613,2.002237860358556
성북구,정릉3동,1108064,7278.0,2363.01,331.88,119.04,0.3246784830997527,0.06195658147842814,1.9839995671558792
중구,황학동,1102067,5004.0,1916.46,208.87,51.04,0.38298561151079136,0.051940447641886496,1.8917606958662285
종로구,삼청동,1101054,916.0,426.95,79.87,7.93,0.4661026200873362,0.09585152838427949,1.8777087493165385
마포구,합정동,1114068,6923.0,2444.17,174.67,143.03,0.3530507005633396,0.045890509894554385,1.8102025487404827
강남구,역삼2동,1123065,9015.0,2952.9900000000002,193.93,197.4,0.3275640599001664,0.043408763172490296,1.787551889265943
은평구,대조동,1112058,9824.0,2940.9300000000003,293.74,186.38,0.2993617671009772,0.048872149837133554,1.7302681174453798
동작구,신대방2동,1120070,6783.0,2165.27,246.55,136.69,0.3192201090962701,0.056500073713696,1.7134988639239137
용산구,한남동,1103074,6406.0,2297.77,157.06,116.09,0.35869029035279426,0.0426397127692788,1.697960171912857
마포구,성산2동,1114073,11865.0,3612.5699999999997,290.71,147.9,0.304472819216182,0.03696670880741677,1.6958289002457747
송파구,송파1동,1124061,9359.0,3007.46,197.26,178.59,0.3213441607009296,0.04015920504327385,1.684832059046276
동작구,노량진1동,1120072,12745.0,3250.19,283.37,399.71,0.2550168693605335,0.05359591996861514,1.6619816520725266
동작구,노량진2동,1120052,4617.0,1531.97,213.25,92.28,0.33181069958847736,0.06617500541477149,1.6548552723670218
영등포구,양평1동,1119061,6677.0,2190.02,207.78,120.99,0.3279946083570466,0.049239179272128196,1.6034256470664516
마포구,서강동,1114076,10071.0,3025.7000000000003,260.93,164.12,0.3004368980240294,0.04220534207129382,1.6023392492961441
동작구,상도3동,1120055,8021.0,2325.8,226.82000000000002,222.93,0.28996384490711885,0.056071562149357934,1.5859289083370638
성북구,월곡2동,1108072,6805.0,2072.13,234.56,155.41,0.3045011021307862,0.05730639235855989,1.5858515371371296
서초구,반포1동,1122057,9301.0,2926.25,225.55,137.59,0.31461670788087304,0.03904311364369423,1.5812362332981535
강북구,미아동,1109070,6768.0,2083.0,217.18,161.55,0.30777186761229314,0.0559589243498818,1.57993280520352
서초구,서초2동,1122052,7689.0,2536.88,196.69,117.16999999999999,0.3299362725972168,0.04081935232149825,1.5695430475165153
관악구,은천동,1121078,10821.0,2954.01,280.96,236.02,0.2729886332131966,0.04777562147675816,1.5306453248174487
마포구,성산1동,1114072,6545.0,1981.55,171.3,148.28,0.30275783040488924,0.04882811306340719,1.3122477079717196
동작구,흑석동,1120071,13478.0,3101.6,357.81,289.82,0.23012316367413563,0.04805089775931147,1.3039345743724349
강동구,천호2동,1125073,10739.0,2727.82,295.46999999999997,207.55,0.25401061551354875,0.04684048794114908,1.2910647156435262
마포구,망원1동,1114069,6933.0,2113.73,140.79,167.81,0.30487956151738066,0.04451175537285447,1.290415297026079
강동구,성내2동,1125066,8214.0,2436.44,215.26999999999998,111.58,0.29662040418797175,0.0397918188458729,1.2750846670445053
성북구,종암동,1108084,12258.0,2953.87,248.26,308.13,0.24097487355196606,0.045389949420786425,1.2558893620721616
서대문구,남가좌2동,1113070,9275.0,2320.17,245.22,229.54,0.25015309973045824,0.051187061994609165,1.1936404748275333
강남구,삼성2동,1123059,8581.0,2415.38,132.46,216.47,0.2814800139843841,0.04066309287961776,1.1855272004046522
용산구,보광동,1103070,4728.0,1585.63,138.43,72.73,0.33537013536379023,0.044661590524534694,1.1788424218028155
동대문구,전농1동,1106083,9529.0,2438.6,230.91,215.14000000000001,0.25591352712771537,0.04680973869241264,1.1782540052935986
성북구,성북동,1108081,5271.0,1708.5900000000001,152.76,75.66,0.3241491178144565,0.043335230506545246,1.153453889388818
동작구,사당4동,1120066,4809.0,1454.6000000000001,153.48999999999998,115.47,0.30247452692867544,0.05592846745685173,1.143762482162003
성동구,마장동,1104054,7622.0,2168.9500000000003,218.42000000000002,104.77,0.2845644187877198,0.0424022566255576,1.1299126262259869
영등포구,당산1동,1119055,7825.0,2256.36,175.89000000000001,131.44,0.2883527156549521,0.03927539936102237,1.121123387991104
강서구,화곡본동,1116055,11759.0,2864.02,276.49,196.79,0.2435598265158602,0.04024832043541117,1.1102070321008728
마포구,공덕동,1114077,11845.0,2862.62,271.45,195.45999999999998,0.2416732798649219,0.03941831996623047,1.0762257336865853
서대문구,충현동,1113073,6680.0,2009.73,177.93,82.16,0.30085778443113775,0.03893562874251497,1.067707832722658
영등포구,도림동,1119075,7021.0,1847.92,208.93,160.51,0.26319897450505625,0.052619285002136446,1.063663009072153
구로구,구로4동,1117055,7745.0,1791.3899999999999,182.98,296.47,0.2312963202065849,0.06190445448676566,1.0471069194668634
성북구,보문동,1108061,5237.0,1586.24,150.9,99.11,0.3028909681115142,0.047739163643307235,1.0381283977507596
노원구,공릉2동,1111056,15499.0,3234.0099999999998,357.36,271.83,0.20865926833989287,0.04059552229176076,1.0198085855782586
강동구,둔촌1동,1125070,6177.0,1879.02,155.47,85.97000000000001,0.30419621175327827,0.03908693540553667,1.0190285810715625
영등포구,신길6동,1119068,5140.0,1362.76,186.57,141.21,0.2651284046692607,0.06377042801556419,1.0165229840857868
서초구,서초3동,1122053,10072.0,2603.5299999999997,166.07,200.07999999999998,0.2584918586179507,0.03635325655281969,1.0068412325057994
성동구,성수1가2동,1104066,5060.0,1523.26,127.94999999999999,116.67999999999999,0.3010395256916996,0.04834584980237154,0.9957638208811109
용산구,이태원2동,1103066,3351.0,1202.65,81.26,63.080000000000005,0.35889286780065655,0.04307370934049538,0.9893183139918853
광진구,자양4동,1105067,8627.0,2253.0,237.18,113.83,0.261156833198099,0.04068737684015301,0.9721337694906385
용산구,용산2가동,1103052,3856.0,1290.21,107.62,68.62,0.3345980290456432,0.04570539419087137,0.9702245632556106
서초구,양재2동,1122067,7500.0,2159.21,145.59,118.82,0.2878946666666667,0.03525466666666666,0.9684396648471709
광진구,중곡2동,1105056,7153.0,1895.1599999999999,154.39,165.14000000000001,0.26494617642947016,0.0446707675101356,0.90463978577358
광진구,중곡1동,1105055,5689.0,1620.92,155.21,105.63,0.28492177887150644,0.04584988574441906,0.8942535844065947
노원구,월계1동,1111051,7398.0,1805.28,273.33,110.89999999999999,0.2440227088402271,0.051937010002703426,0.8918034922584719
영등포구,양평2동,1119062,8215.0,2214.58,167.19,127.02,0.26957760194765673,0.03581375532562386,0.887601393026331
중랑구,면목본동,1107071,10675.0,2325.9700000000003,208.41,298.62,0.21788946135831383,0.04749695550351288,0.8874034068717602
마포구,상암동,1114074,8061.0,2105.4,209.04000000000002,107.58,0.26118347599553404,0.03927800521027168,0.8615953825167671
은평구,응암1동,1112059,9152.0,2234.85,168.74,199.85,0.2441925262237762,0.040274256993007,0.8388520539554769
서초구,서초1동,1122051,6725.0,1852.7,146.64,117.78999999999999,0.27549442379182154,0.03932044609665427,0.8163920297793312
강동구,길동,1125074,14172.0,2957.02,257.07,253.85,0.208652272085803,0.03605136889641546,0.8063418673075642
동작구,상도4동,1120056,9047.0,2095.62,215.17,185.9,0.2316370067425666,0.04433182270365867,0.7844094480314074
강서구,화곡6동,1116061,8357.0,2013.5,190.53,163.94,0.24093574249132463,0.042415938733995455,0.7544130809326841
